Date,Post Type,Content,Video Thumbnail,Image,Like,Retweet,Reply
2016-12-25T07:44:41.000Z,image,"皆様、ありがとうございました^ ^HMM×ミス・モノクロームセレクトショップinラフォーレ原宿 最終日！お越しいただきありがとうございましたー！
次回は年明け1/7（土）！！アミュプラザ博多でお会いしましょう〜！！",,https://pbs.twimg.com/media/C0gPVraUcAAexcp?format=jpg&name=small,51,14,4
2016-12-23T14:48:29.000Z,text,"皆様、よろしくお願いしますd(^_^o)言葉責め日記更新です。今夜はてんたま〜✨連休の初日だから夜更かしさん増えないかなぁ〜。
二次元と三次元の間を行き来する彼女の今後が気になる方は、26時からの「堀江由衣の天使のたまご」をお聞き逃しなく！！（笑）
#tentama
http://king-cr.jp/artist/horie/sp/radio/kotoba/…",,,52,17,4
2016-12-07T02:08:19.000Z,text,"よろしくお願いしまーす！(｀・ω・´)b2016年11月6日（日）に開催されミス・モノクロームMUSIC CLIPS購入者対象公演supported by U-NEXTの映像がU-NEXTにて独占配信中(〃ω〃)
http://video.unext.jp/title/SID0026347…",,,35,15,3
2016-11-06T07:36:16.000Z,image,"ミス・モノクローム、ライブ&特典会ありがとうございました＼(^o^)／
盛り上がりましたね〜！！特典会終了致しました！
本日は大盛況！！
ありがとうございましたー😊",,"https://pbs.twimg.com/media/CwkANqZUkAA5OcG?format=jpg&name=small,https://pbs.twimg.com/media/CwkANqZUsAAblsX?format=jpg&name=360x360",55,22,1
2016-11-04T13:48:04.000Z,text,"DJ Zが！笑いよいよ明後日11月6日（日）はミス・モノクローム二度目の単独公演です*\(^o^)/*お越しになる方は是非ミス・モノクローム体操を覚えて来て下さいm(__)mDJ Zでも踊れる振り付けとなっております‼︎
https://m.youtube.com/watch?v=QIJfbPppetA…",,,39,22,1
2016-11-04T13:31:31.000Z,text,"確かに狂います(｀ﾛ´;)今日は金曜だから「てんたま」の日！！祝日挟むと曜日感覚が狂うよね(＞人＜;)
金曜日！金曜日！
26時から、てんたま！天たま！
#tentama",,,50,23,4
2016-10-28T13:38:45.000Z,text,お楽しみに〜d(^_^o)スタッフ：フライデーナイト〜ヽ(*´∀｀)ﾉ今日はてんたまハロウィンの日ですにゃ♪文化放送さんにて26時から放送ですよ〜！ #tentama,,,46,18,3
2016-10-21T16:30:19.000Z,text,"待機なう(｀・ω・´)b今夜はてんたまですよー！！これから帰る私は、おうち着いてお風呂入ったらベストタイムな気がする✨✨
#tentama",,,47,18,2
2016-09-20T14:58:18.000Z,text,"ほっちゃんの17歳のバースデーが終わってしまう！
･:*:･｡(〃･ω･)ﾉ HappyBirthdayヽ(･ω･〃)｡･:*:･ﾟ",,,260,129,6
2016-09-19T13:32:14.000Z,image,ご覧いただきました皆様、ありがとうございました(=ﾟωﾟ)ﾉミス・モノクロームMUSIC CLIPS発売記念ニコ生特番「モノトーーク！」放送開始無事終了致しました！封入ライブ応募はまだまだ間に合いますので是非「ミス・モノクロームMUSIC CLIPS」を宜しくお願いします( ^ω^ ),,https://pbs.twimg.com/media/CsuBkI-UMAAVyxC?format=jpg&name=small,58,18,2
