Date,Post Type,Content,Video Thumbnail,Image,Like,Retweet,Reply
2024-10-04T09:51:27.000Z,text,"スタッフ：みなさま、こんばんはにゃ！
11/24（日）開催の『「HIGHSPEED Étoile」SPECIAL EVENT AIM FOR ÉTOILE""』に、ほっちゃんの出演が決定いたしましたにゃ！",,,,,
くわしくは下記、公式ホームページをご覧くださいにゃう♪,,,,,,,
「HIGHSPEED Étoile」公式ホームページ：┏━━━━━━━━━┓,,,,,,,
    追加出演決定🏎️💨,,,,,,,
┗━━━━━━━━━┛,,,,,,,
,,,,,,,
HIGHSPEED Étoile」,,,,,,,
"SPECIAL EVENT AIM FOR ""ÉTOILE""に",,,,,,,
ソフィア・B・時任役 #堀江由衣 さん,,,,,,,
劉 悠然役 #諏訪彩花 さん,,,,,,,
が新たに登壇決定しました✨,,,,,,,
,,,,,,,
チケット2次受付はコチラ,,,,,,,
"❯❯ https://w.pia.jp/t/highspeed-etoile/…""",,,202,69,3,,
2024-09-30T08:00:01.000Z,text,"スタッフ：みなさま、こんにちはにゃ！
会報誌「ひみつ文書File.132」を本日9/30(月)に発送完了しましたにゃ！
10/31(木)になりましてもお手元に届かない場合は11/14(木)までに黒ネコ同盟までご連絡くださいにゃ。

※会員専用ページからのYui4応募は【10/1(火)15:00～10/25(金)23:59まで】ですにゃ♪",,,230,38,5
2024-09-29T08:44:53.000Z,text,ゆい：エルザかっこよ！,,,405,44,19
2024-09-20T15:02:33.000Z,text,"ゆい：17才、初転び！(>_<。)
でもグッズの引きが良かったので、良しとする！
今日はたくさんの方にお誕生日をお祝いして頂けてとても嬉しかったです！あたたかいメッセージ、たくさんありがとうございました♪",,,1.2K,177,88
2024-09-19T21:49:52.000Z,text,"スタッフ:Instagramが更新されましたにゃう♪

本日、17才の誕生日を迎えました♪

誕生日なので、ちょっとうかれた写真を…（笑）",,,471,170,23
2024-09-19T15:16:16.000Z,text,ゆい：あれ？？あってる？？今日だよね？？（笑）,,,1.4K,259,85
2024-09-19T15:15:53.000Z,text,"ゆい：0時を過ぎて本日、誕生日を迎えました！
なんと、17才になりますっ♪
少しずつ健康に良さそうなことをしながら頑張っていきたいと思います♪
これからもよろしくお願いします！",,,6.7K,2K,615
2024-09-17T13:52:22.000Z,text,ゆい：わあ！月がぴかぴかだ！,,,782,103,67
2024-09-17T04:11:07.000Z,text,"スタッフ：みなさま、こんにちはにゃ！
黒ネコ同盟会員限定公開中の「エイプリル男爵のInstagram」に『スクールカレンダー2024』のアザーカットを更新いたしましたにゃう♪
是非、チェックしてみてくださいにゃ。",,,226,39,5
2024-09-16T09:09:16.000Z,text,ゆい：そう言えば、お渡し会の前に髪を切ったのだけど、誰にも言われなかったなあ（笑）,,,679,97,64
