Date,Post Type,Content,Video Thumbnail,Image,Like,Retweet,Reply
2012-08-30T19:00:26.000Z,text,"RT: PS3『神次元ゲイム ネプテューヌV』発売！声の出演は田中理恵さん、今井麻美さん、阿澄佳奈さん、佐藤利奈さん、堀江由衣さん、喜多村英梨さん、石原夏織さん、小倉唯さんに加え、本作から花澤香菜さんと悠木碧さんも！""""",,,13,22,4
2012-08-30T18:57:56.000Z,text,"RT: 堀江由衣「BEST ALBUM」リリース記念イベント開催ゲマ！ 詳細は下記HPをチェックしてくださいゲマ！  応募締切は【9月10日(月) 必着】ゲマ！ どしどしご応募くださいゲマ☆ #堀江由衣""""",,,13,11,2
2012-08-30T15:14:44.000Z,text,ゆい：ほうほう！月が美しい(*´∇｀*),,,31,15,27
2012-08-30T15:04:44.000Z,text,ブログを更新しました。 『Pick-up Voice♪４』 ,,,13,12,
2012-08-30T14:36:52.000Z,text,ゆい：バタバタ～！この時間はもう電車が少ない～！,,,25,13,29
2012-08-30T14:27:13.000Z,text,ゆい：もうおぼえられないよう（笑）(*´∇｀*)RT  今日はポスターお渡し会の発表でしたが、明日もお知らせあります！午前10時にHPをチェックですっ(｀・ω・´) ,,,30,24,8
2012-08-30T02:44:31.000Z,text,"ゆい：行きますぜ！(｀･ω･´)RT  6都市めぐり！楽しみです♪
RT: 堀江由衣、2年半ぶりのポスターお渡し会で6都市めぐり ",,,35,49,24
2012-08-30T02:44:05.000Z,text,"ゆい：おお！(((o(*ﾟ▽ﾟ*)o)))RT  堀江由衣「BEST ALBUM」リリース記念！ポスターお渡し会決定です!! #堀江由衣
",,,34,49,4
2012-08-29T14:18:37.000Z,text,ブログを更新しました。 『Pick-up Voice♪３』 ,,,15,16,5
2012-08-29T14:14:34.000Z,text,ブログを更新しました。 『Pick-up Voice♪２』 ,,,15,9,
2012-08-29T13:52:52.000Z,text,ゆい：あらしのよるにが、これから大変なことに！(>_<),,,27,13,18
2012-08-28T17:18:12.000Z,text,ゆい：浅野さんへのお誕生日プレゼントを考えるぜ♪(｀･ω･´)キッチン…キッチン…,,,45,28,39
2012-08-28T08:35:25.000Z,text,"ゆい：おお！RT  ９月OAの「アニソンぷらす」のEDが週変わりでほっちゃんの楽曲になります。
「BEST ALBUM」より毎週１曲づつ選曲！！是非チェックしてください♪
HP: ",,,20,26,9
2012-08-28T00:28:46.000Z,text,ブログを更新しました。 『Pick up Voice♪』 ,,,14,10,7
2012-08-27T16:04:42.000Z,image,"ゆい：お早めに♪RT  8/31発行の週刊アスキー 秋葉原限定版はほっちゃんが表紙です！なんと、人が表紙を飾るのは初なのです(((o(*ﾟ▽ﾟ*)o))) 通常はアニメの絵なのですよ〜！！
#堀江由衣",,https://pbs.twimg.com/media/A1T5X5eCEAAiYHP?format=jpg&name=small,42,80,11
2012-08-27T13:23:28.000Z,text,ゆい：おでこ蚊に刺されたー(｀ﾛ´;)えと、昨日じゃなくて良かった…！,,,39,34,33
2012-08-27T07:21:24.000Z,text,ブログを更新しました。 『アニサマおまけ２♪』 ,,,21,21,4
2012-08-27T07:20:15.000Z,text,ブログを更新しました。 『アニサマおまけ♪』 ,,,18,21,6
2012-08-27T05:55:03.000Z,text,ブログを更新しました。 『アニサマ２♪』 ,,,14,22,11
2012-08-27T05:54:33.000Z,text,ブログを更新しました。 『アニサマ♪』 ,,,17,28,4
2012-08-27T01:57:58.000Z,text,ゆい：朝からゆっくりお風呂につかろう計画(｀･ω･´),,,33,15,36
