Date,Post Type,Content,Video Thumbnail,Image,Like,Retweet,Reply
2012-12-30T15:12:12.000Z,text,ゆい：おお！いろんなやり方が！(*´∇｀*)ありがとうございます♪,,,23,5,18
2012-12-30T14:33:58.000Z,text,ゆい：ミスモノクロームのプレイボタンがかなり人気みたいです(*´∇｀*)ところで、iPhone４から５にアドレス帳を移すのはどうやるのが1番簡単かなぁ？σ(^_^;),,,31,22,34
2012-12-30T04:19:00.000Z,text,ゆい：めぐる冒険Ⅲ、感想いただいて嬉しいです♪冬休み中にぜひ見て下さい〜♪,,,24,16,24
2012-12-29T12:47:40.000Z,text,ゆい：猫物語黒の上映会、無事終わりました！来て下さったみなさま、ありがとうございました♪(*´∇｀*)羽川さんのことについて語れて嬉しいです♪３１日にオンエアです♪,,,32,46,30
2012-12-29T12:44:46.000Z,text,ゆいおおー！ RT : 発売中のB.L.Tなーう！撮り下ろし＆インタビューが掲載されています♬しかも、ほっちゃんの横のページにモノクロームたん発見！,,,20,5,6
2012-12-29T12:44:32.000Z,image,ゆい：あはは！何だかデレデレして見える！（笑） RT : コミケ一日目終了～♪クマスターは明日も午後出勤の予定です。スタチャブースの南家三姉妹と記念撮影！ #c83,,https://pbs.twimg.com/media/A_RazD3CAAAyv9d?format=jpg&name=small,31,12,5
2012-12-29T12:42:45.000Z,image,ゆい：お！ RT : 今日のコミケでのクマスター店員は終了です！写真撮影は通行の邪魔にならなければオッケーだクマだそうです。明日いらっしゃる方はぜひ～ #c83,,https://pbs.twimg.com/media/A_RFIVBCUAAaAZp?format=jpg&name=small,23,8,3
2012-12-29T07:33:51.000Z,text,ゆい：モノクロームちゃんグッズさっそく手に入れて下さっている方がいて、嬉しいです♪きっとモノクロームちゃんも喜んでいるでしょう(*´∇｀*),,,25,10,11
2012-12-29T07:32:15.000Z,image,ゆい：おお！喋ってるのか！（笑） RT : コミケにクマスターが！！今日は声の調子もいいようです。ミス・モノクロームの商品説明してます～。 #c83,,https://pbs.twimg.com/media/A_RAN3ECEAAIHTr?format=jpg&name=small,25,10,5
2012-12-29T07:28:04.000Z,text,ゆい：今日はこれから、猫物語黒の上映会です♪来て下さるみなさま、よろしくお願いします♪,,,28,20,14
2012-12-29T06:02:31.000Z,text,"ゆい：ですです(^-^) RT : こちらも、お忘れなく（ノ∀`）詳細はこちらから☆ 

RT : ブログを更新しました 『あさのさんの♪』 ",,,17,5,1
