Date,Post Type,Content,Video Thumbnail,Image,Like,Retweet,Reply
2015-12-30T16:28:07.000Z,text,ゆい：あと１日で２０１５年が終わるなんて信じられない！わー！今年は特にみなさまにお世話になったなぁ…(*´∇｀*),,,220,112,75
2015-12-30T15:47:46.000Z,text,"ゆい：ぜひぜひ♪（笑）
 RT : 新イベント「笑う門には福来る　禁笑の聖域と縛幸の少女」開催！今回の声優(敬称略)は
ルシウス役：子安武人
ティナ役：堀江由衣
カルミア役：井澤美香子
スージー役：久保ユリカ
えっと…兄さん、お尻は大丈夫…?",,,89,50,4
2015-12-29T14:37:22.000Z,text,"ゆい：Ｂ型ちゃんです♪(*´∇｀*)
 RT @ketsuekigatakun: 【4期】『血液型くん！4』放送決定！
福山潤、中村悠一、石田彰、柿原徹也、悠木碧、堀江由衣、小林ゆう、中原麻衣が引き続き自分と同じ血液型のキャラクターを熱演！主題歌は鳴海杏子！",,,81,49,20
2015-12-28T16:46:53.000Z,text,"ゆい：出なかったよう〜！残念！(｀ﾛ´;) 
 RT : ミス・モノクロームが手に入るかも(((o(*ﾟ▽ﾟ*)o)))１回限定！☆４確定ガチャ開催！٩(๑❛ᴗ❛๑)۶ ﾔｯﾀ～!
2015年の感謝を込めて、１回限定で☆４キャラが１体だけ引けるガチャが登場！
※対象キャラクターは12/28に追加されたフォースターの新キャラです。
一回だけです٩(๑＞◡＜๑)۶ぜひチャレンジしてネ٩(๑❛ᴗ❛๑)۶",,,74,46,24
2015-12-27T13:38:38.000Z,text,ゆい：スタバカード便利ですよ〜(*´∇｀*),,,111,48,48
2015-12-27T09:32:05.000Z,text,ゆい：２円しかないのにスタバに行ったなう（笑）カードあって良かった♪,,,202,124,51
2015-12-27T05:21:36.000Z,text,"ニュータイプの連載です♪
友情出演シカ♪ ",,,89,55,8
2015-12-27T05:13:30.000Z,text,"クリスマスイブのモノクロームちゃんのライブ、見に行ってきました♪
モノクロームちゃん達頑張っていて、お客さんもみなさん盛り上げようとしてくれていて感動♪
ありがとうございました♪",,,98,70,8
2015-12-26T11:49:21.000Z,text,"ゆい：白猫プロジェクトのフォースターもやってるよ〜(*´∇｀*)投票頑張ったよ！
 RT : モットマエニデルー！",,,75,41,14
2015-12-26T11:42:45.000Z,image,"ゆい：おお！
 RT : ミス・モノクローム初の単独スマートフォンAppゲーム「ミス・モノクロームGo！Go！スーパーアイドル」は現在事前登録受付中です
",,https://pbs.twimg.com/media/CXHHkKWUAAAahII?format=jpg&name=small,80,62,10
2015-12-26T11:42:14.000Z,text,"ゆい：違う事情の最終回みたいな言い方やめて〜σ(^_^;)
 RT : ワタシノボウケンハマダマダ
コレカラダー！",,,77,37,13
2015-12-25T14:12:04.000Z,text,ゆい：ルーちゃんも！ありがとうございます神谷さん…！,,,102,41,3
2015-12-25T14:11:25.000Z,text,ゆい：小松さんありがとう（笑）,,,81,32,2
2015-12-25T14:10:58.000Z,text,ゆい：おお！昨日のライブのままだ！(*´∇｀*),,,81,32,4
2015-12-25T14:09:44.000Z,text,ゆい：モノクロームちゃんアニメ始まった〜(*´∇｀*),,,82,26,6
2015-12-25T14:08:56.000Z,image,スタッフ：まもなく！ RT : RT : ミス・モノクローム-The Animation-3TOKYO MXにて間も無く放送です*\(^o^)/*,,https://pbs.twimg.com/media/CXE6UxtU0AAeole?format=jpg&name=small,41,16,
2015-12-25T13:25:56.000Z,image,スタッフ：本日最終話ですにゃ〜！！ RT : ミス・モノクローム-The Animation-3最終話は今晩AT-Xでは22時30分から、TOKYO MXでは23時00分からだルー*\(^o^)/*,,https://pbs.twimg.com/media/CXD91SiUsAAT4O3?format=jpg&name=small,37,23,1
2015-12-25T04:22:05.000Z,text,スタッフ：こちらはレディース用♪こちらもモデルはほっちゃんです♪シャツとあわせたり、ぜひお出かけ着としてもコーディネートしてみてくださいにゃ～(*´∀`*) ,,,44,31,
2015-12-25T04:21:41.000Z,text,スタッフ：メンズ用ルームウェア！メンズLサイズになっております♪モデルはほっちゃんですにゃ（笑）,,,49,36,1
2015-12-25T04:19:29.000Z,image,スタッフ：スプーン＆フォークセットはもこもこ毛並みの黒ネコケースと一緒に♪手触りが気持ちいいにゃ(=´▽｀)ケースはペンケースとしてもご使用いただけますにゃう～！,,https://pbs.twimg.com/media/CXCz-dEUEAAx0LN?format=jpg&name=small,53,31,1
2015-12-25T04:18:33.000Z,image,スタッフ：メリークリスマスにゃ！黒ネコ集会Vol.15のグッズをオフィシャルストアにて販売中！キラキラ雪の中を歩く赤ずきんちゃんのフローティングペンです♪黒のボールペンになります♪ ,,https://pbs.twimg.com/media/CXCzwx6UMAEdBa4?format=jpg&name=small,49,29,1
2015-12-24T15:06:15.000Z,text,ブログを更新しました「黒ネコ集会vol.１５♪」 ,,,108,78,11
