Date,Post Type,Content,Video Thumbnail,Image,Like,Retweet,Reply
2011-07-30T17:24:08.000Z,text,ゆい：好きな曲もたくさんつぶやいていだだいて、ありがとうございます♪新しい曲もちょっと前の曲も、同じくらい選んでいただけて嬉しかったです(^-^)/意外なところではタイムカプセルが人気がありました♪夏だからかなぁ？まだの方もぜひ私の曲で好きな曲を教えて下さい♪,,,37,10,89
2011-07-30T12:20:27.000Z,text,ゆい：幽遊白書なら蔵馬です（笑）RT @yui4kun  一問一答:好きな男性アニメキャラといえば？ #夏の一問一答祭り,,,29,14,21
2011-07-30T12:00:22.000Z,text,ゆい：あはは♪ニノですかね(^-^)/一問一答っぽい♪RT @kamekichi_typer  嵐のなかで特に好きな人は？自分は相葉くんです。 #夏の一問一答,,,29,7,4
2011-07-30T11:56:35.000Z,text,ゆい：綿あめの機械とかやってみたいです♪憧れ～♪( ´▽｀)RT    【一問一答】文化祭でやりたい出し物ってありますか？ #夏の一問一答祭り,,,26,3,3
2011-07-30T11:54:28.000Z,text,ゆい：さいすけと言うアプリを使っています♪ITマネージャーさんが入れてくれます（笑）RT   ほっちゃんはスケジュールとかはスケジュール帳につけてますか？iPhoneとかのスケジュールアプリに入れてますか？ #夏の一問一答祭り,,,26,3,3
2011-07-30T11:52:53.000Z,text,ゆい：揚げ物？ピンポイントですね（笑）フライドポテトとか、チーズをあげたのとか、串揚げも好きです♪サクサクしてて♪RT   質問です。一番好きな揚げ物を教えてください！よろしければ理由も含めて(´∀｀)　#夏の一問一答祭り,,,25,5,1
2011-07-30T11:50:25.000Z,text,ゆい：何も飼っていないのです〜！犬も猫も好きです♪RT   ほっちゃんおはよーです！ヽ(・∀・)ノ一問一答です♪ほっちゃんは動物飼ってますか??どんな動物が好きなんですか?? #夏の一問一答祭り,,,23,3,2
2011-07-30T11:43:30.000Z,text,ゆい：難しかったですー・°(＞_＜)・°ぜひカラオケなどで、挑戦してくださいです♪RT  ,,,,,
"【一問一答】インモラリストを歌うのは難しかったんじゃないですか??w #夏の一問一答祭り""""",,,23,4,3,,
2011-07-30T11:40:35.000Z,text,ゆい：難しかったですー・°°・(＞_＜)・°RT  (υᴗυ),,,,,
"【一問一答】インモラリストを歌うのは難しかったんじゃないですか??w #夏の一問一答祭り""""",,,22,4,4,,
2011-07-30T11:38:04.000Z,text,ゆい：敵です(￣ー￣ )RT   この夏凄く日焼けをしてしまいました(T . T)ゆいちゃんにとって日焼けとは？#夏の一問一答祭り,,,25,3,2
2011-07-30T11:30:38.000Z,text,ゆい：ありがとうございます♪今のところないですが、またAice5で、同窓会みたいに声優グランプリの表紙とか、やらせていただけたら楽しそうです♪（笑）RT @sou_mei  Aice5が大好きだったんですが、今後もユニットをやる予定はありますか？,,,30,8,3
2011-07-30T00:33:01.000Z,text,ゆい：うーうー言うんじゃありませんっ！！！…うみねこのアフレコの時もこのやりとり流行ってました（笑）RT   【一問一答】う～う～,,,41,12,25
2011-07-30T00:25:44.000Z,text,ゆい：ありがとうございます♪私もV6は青春です♪( ´▽｀)あはは♪RT   初めて買ったCDがほっちゃんとV6だったので…ほっちゃんは男性アイドルだと好きな方はいますか?(>ω<) #夏の一問一答,,,31,5,2
2011-07-29T23:41:09.000Z,text,ゆい：おとなりの鳥取にはお邪魔しました♪島根は憧れの場所ですが、なかなか行く機会がなかったり…σ(^_^;)RT   島根県に来たことありますか？ #夏の一問一答祭り,,,29,7,4
2011-07-29T23:36:17.000Z,text,"ゆい：間に合うかなぁ？（笑）ハッピーハッピーライスシャワーです♪
RT   【一問一答】明日友達の結婚式です♪　結婚式にオススメなほっちゃんの歌は何かありますか？？あったら急遽その曲流します！（笑）　#夏の一問一答祭り",,,29,3,7
2011-07-29T23:34:45.000Z,text,ゆい：おはようございます♪それ美味しそうですね♪私はお豆腐とかぼちゃのスープにはまってます♪RT   一問一答です！最近はまっている食べ物ってありますか？私は梅干し混ぜご飯にはまっています(*ﾟvﾟ*)♪ #夏の一問一答祭り,,,28,3,6
2011-07-29T14:26:26.000Z,text,ゆい：なんだろー？私の曲で、好きな曲があったら、教えて下さい♪かな♪（＾∇＾）RT   【一問一答】ほっちゃんがファンに質問したいことはありますか？ #夏の一問一答祭り,,,27,7,62
2011-07-29T14:23:42.000Z,text,ゆい：こらーっ！ダメでしょーっ！！…ところで、写真のところにある、鳥さん可愛いですね♪RT @amaMizonZo  ほっちゃんに叱られたいです！ #夏の一問一答祭り,,,29,10,6
2011-07-29T14:20:03.000Z,text,ゆい：麦茶です（笑）RT  　ほっちゃんが最近はまってる飲み物ってなんですか？　#夏の一問一答祭り,,,25,4,3
2011-07-29T14:11:49.000Z,text,ゆい：スタバです♪RT @yamanakowa  一問一答です。ほっちゃんにとってのちょっとした贅沢って何かありますか？ #夏の一問一答祭り,,,25,4,3
2011-07-29T14:09:13.000Z,text,ゆい：何がしたいかにもよりますが、お買い物とかするのは便利だと思います♪RT @aiaikain  一問一答っ！ 就職活動で東京行くことになったんですがどこかオススメの場所とかありますか？　#夏の一問一答祭り,,,22,3,3
2011-07-29T13:26:23.000Z,text,ゆい：あはは♪使い勝手が良いのは、あうあうですかね？（笑）RT @_HEART_MAKER_  「あうあう」「うーうー」「うぐぅ」「何でもは知らないわよ、知ってることだけ」口癖にするならどれですか？ #夏の一問一答祭り,,,28,17,7
2011-07-29T13:22:52.000Z,text,"ゆい：今はクレープかなぁ♪エクレアも好きです♪♪( ´▽｀)RT   
一問一答です。ほっちゃんの好きなスイーツは、何ですか? 自分は、パイシューが好きです！
#夏の一問一答祭り",,,30,4,3
2011-07-29T13:16:26.000Z,text,ゆい：いとこの、ユアちゃんとユウちゃんです♪…確か（笑）RT   一問一答：バニラソルト(Ｉ ｍｙ ｍｅでも可)のPVに登場する、堀江三姉妹(でいいのかな？)のプロフィールを教えて下さい？ #夏の一問一答祭り,,,40,19,5
2011-07-29T01:13:21.000Z,text,ゆい：そうだなぁ♪免許がとれるのでしたっけ？18才になったら挑戦してみたいです（笑）RT @honey_kumako 　一問一答です！18歳になったらやってみたいことって何かありますか(*´｀*)？ #夏の一問一答祭り,,,42,28,18
2011-07-29T01:11:42.000Z,text,ゆい：あはは♪ありがとう(*^_^*)RT   質問じゃないけど応援しています(^_−)−☆ #夏の一問一答祭り,,,21,1,1
2011-07-29T01:10:31.000Z,text,ゆい：この前食べた、プリッツのプレミアムバター？かな？が、美味しかったです♪RT   ポッキとプリッツ、どっちが好きですか？？自分はポッキーです #夏の一問一答祭り,,,23,2,2
2011-07-29T01:07:59.000Z,text,ゆい：たしかスヌーピーの、筒になった水の流れる滑り台みたいなアトラクションが、1番好きでした♪滑るのがヘタだとびしょびしょです！RT   前にディズニーが出ていたのでUSJで好きなアトラクションも教えてください！ #夏の一問一答祭り,,,24,2,
2011-07-29T00:58:51.000Z,text,ゆい：朝はジュース派です♪でもその後、パン食べます（笑）RT   ありきたりですが朝はパン派ですか？ご飯派ですか？？ #夏の一問一答祭り,,,25,2,2
2011-07-29T00:53:32.000Z,text,ゆい：たくさんありますが、ラジオの時間♪近い仕事をしているので、より面白く感じるのかもです（笑）本当にあったらどうなるんだろ？RT @maihime_1984   #夏の一問一答祭り　ほっちゃんのお勧めの映画を教えてください。,,,26,2,6
2011-07-29T00:50:29.000Z,text,ゆい：何回かあります♪応募したもの自体は当たらなくても、残念賞みたいな感じで、別のものが届いたり♪RT   一問一答!  ほっちゃんは ハガキの応募等で懸賞に当たった事はありますか?  #夏の一問一答祭り,,,24,2,1
2011-07-29T00:47:12.000Z,text,ゆい：じゃがバター、ソースせんべい、あんず飴、五平餅？食べる専門です（＾∇＾）RT  　お祭りに行くとしたら何を買いますか（やりますか）？  #夏の一問一答祭り,,,25,2,1
2011-07-29T00:43:29.000Z,text,ゆい：うがい、手洗い、マスクです(>_<)お大事にです～！RT   [一問一答]自分は今、風邪気味なのですが、ほっちゃんは普段風邪への対策などは行っていますか？ #夏の一問一答祭り,,,57,28,3
2011-07-29T00:39:59.000Z,text,ゆい：おお♪考えます♪RT   今夜の「みずがめ座デルタ流星群」を皮切りに夏の流星群シーズン到来ですが、ほっちゃんは願い事３回、何を願いますか？　ちなみに8/13にはペルセウス座流星群が極大期を迎えるそうです。 #夏の一問一答祭り,,,25,3,2
2011-07-28T16:49:42.000Z,text,ゆい：今日は電車、逆方向に乗ってしまい焦りました(~_~;)で、電車にたくさん乗れて良かった…（笑）たくさんの質問ありがとうございます♪明日もちょこちょこですが答えてみたいと思います♪,,,28,6,87
2011-07-28T15:12:51.000Z,text,ゆい：あはは♪よりによってそれですか（笑）私は職業柄か、ぶるぶるです♪RT   一問一答！ほっちゃんのメール着信音は何ですか？ちなみに自分は「放送が明けたら」であった山羊っぽい着ボイスです。 #夏の一問一答祭り,,,27,5,5
2011-07-28T15:10:35.000Z,text,ゆい：愛知県に行けたら行きたいなぁと思っています♪今回のお話がすごく好きだったので♪RT   一問一答 迷？探偵クリス絶賛上映中ですが、プラネタリウムには行きますか？,,,25,3,2
2011-07-28T15:07:23.000Z,text,ゆい：おばけが出た！と、ときます。その心は…「ひえー！」…ど、どうでしょう…？RT   【一問一答】冷麺と掛けて、何とときたいですか？ #夏の一問一答祭り,,,30,11,7
2011-07-28T14:59:56.000Z,text,ゆい：マッシュポテト♪お店で見つけるのが難しいので(^_^;)RT   これが得意料理なのって言われたらきゅんとする料理(おかずとか)とスイーツはなんですか？ #夏の一問一答祭り,,,25,2,2
