Date,Post Type,Content,Video Thumbnail,Image,Like,Retweet,Reply
2016-04-05T09:45:51.000Z,text,"【お知らせ】6/5開催「それが声優！」×「イヤホンズ vs Aice⁵」スペシャルトークイベント～それが打ち上げ！～
応募フォームシステム障害に関するお詫びと応募締め切り日の延長に関して→",,,74,51,4
2016-03-31T11:09:16.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日が最後の質問です！最後の質問は･･･
「 ファンのみなさんに向けて一言！」
イヤホンズ・Aice5メンバーの回答はこちらをチェック！→ #イヤホンズ #Aice5",,,50,28,4
2016-03-30T11:46:38.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「ライブを終えて、お互いのユニットの印象が変わったことなどありますか？ 」
イヤホンズ・Aice5メンバーの回答はこちらをチェック！→",,,40,25,1
2016-03-29T11:35:41.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「今回のライブで一番変わったメンバーはどなただと思いますか？ それはどのような点でしょうか？ 」
イヤホンズ・Aice5メンバーの回答はこちらをチェック！",,,43,22,1
2016-03-28T11:08:50.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「皆様が苦手な早口言葉はありますか？ あと、サ行が苦手なのですが何か良い滑舌の練習方法などはありますか？！」
イヤホンズ・Aice5メンバーの回答はこちら",,,45,15,
2016-03-27T12:31:20.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「ライブを振り返った時、一番最初に思い出すのはどの曲ですか？ 」
イヤホンズ・Aice5メンバーの回答はこちらをチェック！→
#イヤホンズ #Aice5",,,35,17,
2016-03-25T11:05:39.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「ライブが始まる前の緊張をほぐす秘訣を教えてください。 」
イヤホンズ・Aice5メンバーの回答はこちらをチェック！→
#イヤホンズ #Aice5",,,34,20,
2016-03-24T11:40:56.000Z,image,"【開催中～4/4(月)まで！】「イヤホンズvs Aice⁵」BD＆DVD発売記念衣装展♪
都内アニメイト４店舗には、イヤホンズの衣装を展示しています！
秋葉原店には・・・イヤホンズの高橋李依さんの衣装を展示♪",,https://pbs.twimg.com/media/CeT4GTdUAAAvI9s?format=jpg&name=small,70,48,
2016-03-24T11:06:44.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「ライブ前にするジンクスやルーティンなどはありますか～？(*^^*) 」
イヤホンズ・Aice5メンバーの回答はこちらをチェック！→  #イヤホンズ #Aice5",,,34,19,
2016-03-23T11:09:34.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「ライブに向けての練習中、食べ物にまつわる逸話があれば教えてください。 」
イヤホンズ・Aice5メンバーの回答はこちらをチェック！→   #Aice5 #イヤホンズ",,,46,21,
2016-03-23T11:08:23.000Z,text,"【本日発売】BD＆DVD「イヤホンズ vs Aice⁵～それがユニット！～NHKホール公演」!
映像トレーラー「メンバー厳選お気に入りシーン集」も公開中！みんながどのシーンを選んだか必見です！→ #イヤホンズ #Aice5",,,68,65,2
2016-03-23T05:33:44.000Z,image,【本日発売】Blu-ray＆DVD「イヤホンズ vs Aice⁵～それがユニット！～NHKホール公演」！貴重な映像を多数収録！衣装展開催中のタワレコ渋谷店にはコーナーも！是非ご覧ください♪  #Aice5 #イヤホンズ,,https://pbs.twimg.com/media/CeNadw9WAAAQo_r?format=jpg&name=small,67,55,1
2016-03-22T13:12:30.000Z,text,"本日より開催してます「イヤホンズvsAice⁵」BD&DVD発売記念衣装展！
タワーレコード渋谷店には、なんと…！Aice⁵メンバー全員の衣装を展示しています！
是非見に来て下さいね♪
 ",,,109,108,4
2016-03-22T12:11:32.000Z,text,「イヤホンズvsAice⁵」BD&DVD発売記念衣装展を本日より開催しています！タワレコ渋谷，アニメイト池袋・秋葉原・新宿・吉祥寺の都内5店舗にて、それぞれ異なる衣装を展示中！開催は4/4まで！是非お見逃しなく♪詳細はこちら→,,,79,70,
2016-03-22T11:08:29.000Z,text,"【明日発売！】イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「メンバー内で担当の色を交換出来るとしたら何色になりたい(何色の衣装を着たい)ですか？ 」イヤホンズ・Aice5メンバーの回答はこちらをチェック！→",,,48,28,1
2016-03-21T11:09:00.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「イヤホンズとAice⁵、お互いに見習いたいことは何ですか？ 」
イヤホンズ・Aice5メンバーの回答はこちらをチェック！→ #イヤホンズ #Aice5",,,46,17,
2016-03-20T11:14:26.000Z,text,"「イヤホンズ vs Aice⁵」BD&DVD発売まであと3日！ライブに関する一問一答、今日の質問は･･･「自分以外のイヤホンズ・Aice⁵メンバーに向けて一言！」
イヤホンズ＆Aice5メンバーの回答はこちら",,,41,19,1
2016-03-19T11:04:53.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「イヤホンズとAice⁵、お互いのパフォーマンスをみた感想をお願いします。」
イヤホンズ＆Aice5メンバーの回答はこちら→ ♯イヤホンズ ♯Aice5",,,41,20,
2016-03-18T11:30:14.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「自分がリーダーになるとしたら、どんなユニットが組んでみたいですか」イヤホンズ・Aice5メンバーの回答はこちらをチェック！→ #イヤホンズ #Aice5",,,40,18,1
2016-03-17T11:03:36.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「ライブでは歌えなかったけど、この曲も歌いたかった！」という一曲があれば教えて下さい」イヤホンズ・Aice5メンバーの回答はこちら→ #イヤホンズ #Aice5",,,45,29,2
2016-03-16T11:23:23.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「ライブが終わったあと 自分へのご褒美は何かしましたか？」
イヤホンズ・Aice5メンバーの回答はこちらをチェック！→
#イヤホンズ #Aice5",,,42,20,2
2016-03-14T11:07:26.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
『 LIVE中、「これは気持ちよかったー！」ということはありましたか？』
イヤホンズ・Aice5メンバーの回答はこちらをチェック！→ #イヤホンズ #Aice5",,,44,17,1
2016-03-14T11:06:11.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
『 LIVE中、「これは気持ちよかったー！」ということはありましたか？』
イヤホンズ・Aice5メンバーの回答はこちらをチェック！→
#イヤホンズ #Aice5",,,42,18,
2016-03-13T11:05:16.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「 Aice⁵、イヤホンズお互いの曲でカバーしたい曲はありますか？」
イヤホンズ・Aice5メンバーの回答はこちらをチェック！→ #イヤホンズ #Aice5",,,42,22,1
2016-03-12T11:05:17.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「 Aice⁵、イヤホンズそれぞれに 必要なものって何だと思いますか？」
イヤホンズ・Aice5メンバーの回答はこちらをチェック！→ #イヤホンズ #Aice5",,,45,27,
2016-03-11T11:10:34.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「 今回のライブを迎えるにあたって、大変だったところはありましたか？」
イヤホンズ・Aice5メンバーの回答はこちらをチェック！→",,,39,20,
2016-03-10T12:30:16.000Z,text,「イヤホンズ vs Aice⁵～それがユニット！～NHKホール公演」BD&DVD映像トレーラー第2弾「アクシデント編」公開しました。ライブリハ中に起きた事件とTVアニメ「それが声優！」とのリンクにご注目！ #Aice5 #イヤホンズ,,,67,45,
2016-03-10T11:09:55.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「 今だから言える、当日失敗してしまったことは？」
イヤホンズ・Aice5メンバーの回答はこちらをチェック！→",,,36,19,1
2016-03-09T11:04:51.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「 たかはし智秋さんが怪我をされたことによって一番演出が変わったポイントはどこですか？」
イヤホンズ・Aice5メンバーの回答はこちらをチェック！→",,,46,29,2
2016-03-08T11:06:47.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「 NHKホールに一言！」
イヤホンズ・Aice5メンバーの回答はこちらをチェック！→ #イヤホンズ #Aice5",,,44,22,1
2016-03-07T11:08:04.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「11/22のライブを漢字１文字で表すとしたら？」
イヤホンズ・Aice5メンバーの回答はこちらをチェック！→ ♯イヤホンズ ♯Aice5",,,40,19,1
2016-03-06T11:08:35.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「ユニットシャッフルが行われましたが、他にやりたかったことはありますか？」
イヤホンズ・Aice5メンバーの回答はこちらをチェック！→ ♯イヤホンズ ♯Aice5",,,43,19,
2016-03-05T11:00:10.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「当日、楽屋で印象に残っていることはありますか？」
イヤホンズ・Aice5メンバーの回答はこちらをチェック！→
♯イヤホンズ ♯Aice5",,,38,21,
2016-03-04T11:16:49.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「残念ながらライブに行けなかったので、DVD化ということで、とても楽しみにしてます♪ ズバリ見どころは？」イヤホンズ・Aice5メンバーの回答はこちらをチェック！→",,,39,22,1
2016-03-03T12:04:29.000Z,text,"「イヤホンズ vs Aice⁵～それがユニット！～NHKホール公演」BD＆DVD映像トレーラー第1弾「VS編」を公開！イヤホンズとAice5の戦いの幕開けを是非ご覧ください！
 ♯Aice5 ♯イヤホンズ",,,83,86,1
2016-03-03T10:51:58.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「ライブで、ここだけは相手に負けなかった！というポイントは？」
イヤホンズ・Aice5メンバーの回答はこちらをチェック！→ ♯イヤホンズ ♯Aice5",,,47,24,1
2016-03-02T11:07:37.000Z,text,"イヤホンズ＆Aice⁵のライブに関する一問一答！今日の質問は･･･
「２マンLIVEを経て、自分自身で成長したなと感じる部分はありますか？」
イヤホンズ・Aice5メンバーの回答はこちらをチェック！→
♯イヤホンズ ♯Aice5",,,50,30,
